,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
54,unique,unique,0.001,1e-07,8,analytic_unique_2,True
55,unique,unique,0.001,1e-06,8,analytic_unique_2,True
56,unique,,0.001,1e-05,8,analytic_unique_2,False
57,unique,,0.001,0.0001,8,analytic_unique_2,False
58,unique,,0.001,0.001,8,analytic_unique_2,False
59,unique,,0.001,0.01,8,analytic_unique_2,False
60,unique,unique,0.0001,0.0,8,analytic_unique_2,True
61,unique,unique,0.0001,1e-10,8,analytic_unique_2,True
62,unique,unique,0.0001,1e-09,8,analytic_unique_2,True
63,unique,unique,0.0001,1e-08,8,analytic_unique_2,True
64,unique,unique,0.0001,1e-07,8,analytic_unique_2,True
65,unique,unique,0.0001,1e-06,8,analytic_unique_2,True
66,unique,,0.0001,1e-05,8,analytic_unique_2,False
67,unique,,0.0001,0.0001,8,analytic_unique_2,False
68,unique,,0.0001,0.001,8,analytic_unique_2,False
69,unique,,0.0001,0.01,8,analytic_unique_2,False
70,unique,unique,1e-05,0.0,8,analytic_unique_2,True
71,unique,unique,1e-05,1e-10,8,analytic_unique_2,True
72,unique,unique,1e-05,1e-09,8,analytic_unique_2,True
73,unique,unique,1e-05,1e-08,8,analytic_unique_2,True
74,unique,unique,1e-05,1e-07,8,analytic_unique_2,True
75,unique,unique,1e-05,1e-06,8,analytic_unique_2,True
76,unique,,1e-05,1e-05,8,analytic_unique_2,False
77,unique,,1e-05,0.0001,8,analytic_unique_2,False
78,unique,,1e-05,0.001,8,analytic_unique_2,False
79,unique,,1e-05,0.01,8,analytic_unique_2,False
80,unique,unique,1e-06,0.0,8,analytic_unique_2,True
81,unique,unique,1e-06,1e-10,8,analytic_unique_2,True
82,unique,unique,1e-06,1e-09,8,analytic_unique_2,True
83,unique,unique,1e-06,1e-08,8,analytic_unique_2,True
84,unique,unique,1e-06,1e-07,8,analytic_unique_2,True
85,unique,unique,1e-06,1e-06,8,analytic_unique_2,True
86,unique,,1e-06,1e-05,8,analytic_unique_2,False
87,unique,,1e-06,0.0001,8,analytic_unique_2,False
88,unique,,1e-06,0.001,8,analytic_unique_2,False
89,unique,,1e-06,0.01,8,analytic_unique_2,False
0,unique,,1.0,0.0,8,analytic_nonunique_1,False
1,unique,non unique,1.0,1e-10,8,analytic_nonunique_1,False
2,unique,non unique,1.0,1e-09,8,analytic_nonunique_1,False
3,unique,non unique,1.0,1e-08,8,analytic_nonunique_1,False
4,unique,non unique,1.0,1e-07,8,analytic_nonunique_1,False
5,unique,non unique,1.0,1e-06,8,analytic_nonunique_1,False
6,unique,non unique,1.0,1e-05,8,analytic_nonunique_1,False
7,unique,,1.0,0.0001,8,analytic_nonunique_1,False
8,unique,,1.0,0.001,8,analytic_nonunique_1,False
9,unique,,1.0,0.01,8,analytic_nonunique_1,False
10,unique,,0.5,0.0,8,analytic_nonunique_1,False
11,unique,non unique,0.5,1e-10,8,analytic_nonunique_1,False
12,unique,non unique,0.5,1e-09,8,analytic_nonunique_1,False
13,unique,non unique,0.5,1e-08,8,analytic_nonunique_1,False
14,unique,non unique,0.5,1e-07,8,analytic_nonunique_1,False
15,unique,non unique,0.5,1e-06,8,analytic_nonunique_1,False
16,unique,non unique,0.5,1e-05,8,analytic_nonunique_1,False
17,unique,,0.5,0.0001,8,analytic_nonunique_1,False
18,unique,,0.5,0.001,8,analytic_nonunique_1,False
19,unique,,0.5,0.01,8,analytic_nonunique_1,False
20,unique,,0.25,0.0,8,analytic_nonunique_1,False
21,unique,non unique,0.25,1e-10,8,analytic_nonunique_1,False
22,unique,non unique,0.25,1e-09,8,analytic_nonunique_1,False
23,unique,non unique,0.25,1e-08,8,analytic_nonunique_1,False
24,unique,non unique,0.25,1e-07,8,analytic_nonunique_1,False
25,unique,non unique,0.25,1e-06,8,analytic_nonunique_1,False
26,unique,non unique,0.25,1e-05,8,analytic_nonunique_1,False
27,unique,,0.25,0.0001,8,analytic_nonunique_1,False
28,unique,,0.25,0.001,8,analytic_nonunique_1,False
29,unique,,0.25,0.01,8,analytic_nonunique_1,False
30,unique,,0.1,0.0,8,analytic_nonunique_1,False
31,unique,non unique,0.1,1e-10,8,analytic_nonunique_1,False
32,unique,non unique,0.1,1e-09,8,analytic_nonunique_1,False
33,unique,non unique,0.1,1e-08,8,analytic_nonunique_1,False
34,unique,non unique,0.1,1e-07,8,analytic_nonunique_1,False
35,unique,non unique,0.1,1e-06,8,analytic_nonunique_1,False
36,unique,,0.1,1e-05,8,analytic_nonunique_1,False
37,unique,,0.1,0.0001,8,analytic_nonunique_1,False
38,unique,,0.1,0.001,8,analytic_nonunique_1,False
39,unique,,0.1,0.01,8,analytic_nonunique_1,False
40,unique,,0.01,0.0,8,analytic_nonunique_1,False
41,unique,non unique,0.01,1e-10,8,analytic_nonunique_1,False
42,unique,non unique,0.01,1e-09,8,analytic_nonunique_1,False
43,unique,non unique,0.01,1e-08,8,analytic_nonunique_1,False
44,unique,non unique,0.01,1e-07,8,analytic_nonunique_1,False
45,unique,,0.01,1e-06,8,analytic_nonunique_1,False
46,unique,,0.01,1e-05,8,analytic_nonunique_1,False
47,unique,,0.01,0.0001,8,analytic_nonunique_1,False
48,unique,,0.01,0.001,8,analytic_nonunique_1,False
49,unique,,0.01,0.01,8,analytic_nonunique_1,False
50,unique,,0.001,0.0,8,analytic_nonunique_1,False
51,unique,non unique,0.001,1e-10,8,analytic_nonunique_1,False
52,unique,non unique,0.001,1e-09,8,analytic_nonunique_1,False
53,unique,non unique,0.001,1e-08,8,analytic_nonunique_1,False
54,unique,,0.001,1e-07,8,analytic_nonunique_1,False
55,unique,,0.001,1e-06,8,analytic_nonunique_1,False
56,unique,,0.001,1e-05,8,analytic_nonunique_1,False
57,unique,,0.001,0.0001,8,analytic_nonunique_1,False
58,unique,,0.001,0.001,8,analytic_nonunique_1,False
59,unique,,0.001,0.01,8,analytic_nonunique_1,False
60,unique,,0.0001,0.0,8,analytic_nonunique_1,False
61,unique,non unique,0.0001,1e-10,8,analytic_nonunique_1,False
62,unique,non unique,0.0001,1e-09,8,analytic_nonunique_1,False
63,unique,,0.0001,1e-08,8,analytic_nonunique_1,False
64,unique,,0.0001,1e-07,8,analytic_nonunique_1,False
65,unique,,0.0001,1e-06,8,analytic_nonunique_1,False
66,unique,,0.0001,1e-05,8,analytic_nonunique_1,False
67,unique,,0.0001,0.0001,8,analytic_nonunique_1,False
68,unique,,0.0001,0.001,8,analytic_nonunique_1,False
69,unique,,0.0001,0.01,8,analytic_nonunique_1,False
70,unique,,1e-05,0.0,8,analytic_nonunique_1,False
71,unique,non unique,1e-05,1e-10,8,analytic_nonunique_1,False
72,unique,,1e-05,1e-09,8,analytic_nonunique_1,False
73,unique,,1e-05,1e-08,8,analytic_nonunique_1,False
74,unique,,1e-05,1e-07,8,analytic_nonunique_1,False
75,unique,,1e-05,1e-06,8,analytic_nonunique_1,False
